"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"761786855041957888","761779650737545217","14128069","2016-08-06 04:51:54 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@adravan Stoney from Kenya!","","","",""
"761786675353776129","","","2016-08-06 04:51:11 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","I really really like that archivists are tweeting about beverly #saa16","","","",""
"761646344473894912","","","2016-08-05 19:33:33 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","“Burn it down!” #s504 #saa16","","","",""
"761642547718520832","","","2016-08-05 19:18:28 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Here’s what’s going on in #s504. Live polling! #saa16 https://t.co/k3ell6n3B1","","","","http://twitter.com/jdbence/status/761642547718520832/photo/1"
"761637628244553729","","","2016-08-05 18:58:55 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Getting ready for Archives and Institutional Power: A Critical Perspective #s504 #saa16","","","",""
"761568227310927872","","","2016-08-05 14:23:09 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @dvarchivists: Archivists not at #saa16, too! #saaleftbehind https://t.co/AJkQyWhzq0","761567881322725377","2798093297","2016-08-05 14:21:46 +0000","https://twitter.com/jdbence/status/761567191959539713,https://twitter.com/jdbence/status/761567191959539713"
"761567191959539713","","","2016-08-05 14:19:02 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Hey #saa16, go and comment on the draft standard for public service metrics! Do it! Help make it better! https://t.co/nj3lQbScYa","","","","http://goo.gl/QBW4KE"
"761412512793423872","761340582182719488","17315836","2016-08-05 04:04:24 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@archivesnext too real","","","",""
"761203392916164609","761203301136359424","741316885","2016-08-04 14:13:26 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@carynradick nope, that’s great!","","","",""
"761201295269228544","","","2016-08-04 14:05:05 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","I’m manning the furkids table bc I wanted to sit down! @carynradick what do I tell people? #saa16","","","",""
"761065458095185920","","","2016-08-04 05:05:19 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","I’m glad some #saa16-goers received some gospel at Church tonight #sisterlouisa","","","",""
"761064355391639552","761011875823824897","7595002","2016-08-04 05:00:56 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@cfohlin welcome to my world","","","",""
"760629931529371648","760530229844709376","24188638","2016-08-03 00:14:42 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@AprilArchivist no context, this might seem weird 😅","","","",""
"760626074514522113","760604177819136001","15274817","2016-08-02 23:59:22 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@lemurchild yes.","","","",""
"760535102451515393","760533071280078848","15614824","2016-08-02 17:57:53 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@amycsc [insert substantive comment here]","","","",""
"760531846077689856","","","2016-08-02 17:44:56 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @amycsc: Summary of survey responses on Patron-Centered Metrics #jtfps #saa16 #Archivists https://t.co/YwvwfqqsBu","760531626250108928","15614824","2016-08-02 17:44:04 +0000","http://www2.archivists.org/groups/saa-acrlrbms-joint-task-force-on-public-services-metrics/patron-centered-metrics#.V6DbsZVO07k.twitter,http://www2.archivists.org/groups/saa-acrlrbms-joint-task-force-on-public-services-metrics/patron-centered-metrics#.V6DbsZVO07k.twitter"
"760530229844709376","","","2016-08-02 17:38:31 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","... the Canadians...","","","",""
"760504863352623104","","","2016-08-02 15:57:43 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Weideman from UAlbany:  integrating large scale #webarchiving with collection management system using CDX server #ait16 #saa16","","","",""
"760498781892771840","760498580985671681","122136843","2016-08-02 15:33:33 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@minniedw I can say from experience… Yes it is 😅","","","",""
"760498191494160384","","","2016-08-02 15:31:12 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Johnson: #webarchiving came out of the u archives at UofIowa. 2008 flood in Iowa City started interest in capturing diff content #ait16","","","",""
"760497510079234048","","","2016-08-02 15:28:30 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Next up: Daniel Johnson talking about expanding the scope and use of #webarchiving at U of Iowa #ait16 #saa16","","","",""
"760496809919873024","","","2016-08-02 15:25:43 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","While working with lib colleagues wasn’t as easy as imagined, learning curve paid off w/ enthusiasm later - @Digitized_Laura #ait16 #saa16","","","",""
"760496113258524672","","2750398987","2016-08-02 15:22:57 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@Digitized_Laura targeted curators in library rather than faculty to build web archives that complement collecting strengths #ait16 #saa16","","","",""
